Date,Product,Region,Sales,Revenue,Customer Segment
2024-01-01 00:00:00,Product A,North,150,2250,Retail
2024-01-02 00:00:00,Product B,South,200,3000,Wholesale
2024-01-03 00:00:00,Product C,East,250,3750,Online
2024-01-04 00:00:00,Product A,North,300,4500,Retail
2024-01-05 00:00:00,Product B,South,120,1800,Wholesale
2024-01-06 00:00:00,Product C,East,180,2700,Online
2024-01-07 00:00:00,Product A,North,220,3300,Retail
2024-01-08 00:00:00,Product B,South,170,2550,Wholesale
2024-01-09 00:00:00,Product C,East,190,2850,Online
2024-01-10 00:00:00,Product A,North,210,3150,Retail
2024-01-11 00:00:00,Product B,South,150,2250,Wholesale
2024-01-12 00:00:00,Product C,East,200,3000,Online
2024-01-13 00:00:00,Product A,North,250,3750,Retail
2024-01-14 00:00:00,Product B,South,300,4500,Wholesale
2024-01-15 00:00:00,Product C,East,120,1800,Online
2024-01-16 00:00:00,Product A,North,180,2700,Retail
2024-01-17 00:00:00,Product B,South,220,3300,Wholesale
2024-01-18 00:00:00,Product C,East,170,2550,Online
2024-01-19 00:00:00,Product A,North,190,2850,Retail
2024-01-20 00:00:00,Product B,South,210,3150,Wholesale
2024-01-21 00:00:00,Product C,East,150,2250,Online
2024-01-22 00:00:00,Product A,North,200,3000,Retail
2024-01-23 00:00:00,Product B,South,250,3750,Wholesale
2024-01-24 00:00:00,Product C,East,300,4500,Online
2024-01-25 00:00:00,Product A,North,120,1800,Retail
2024-01-26 00:00:00,Product B,South,180,2700,Wholesale
2024-01-27 00:00:00,Product C,East,220,3300,Online
2024-01-28 00:00:00,Product A,North,170,2550,Retail
2024-01-29 00:00:00,Product B,South,190,2850,Wholesale
2024-01-30 00:00:00,Product C,East,210,3150,Online
